Year,Team,Wins,Loss,Home Wins,Home Loss,Away Wins,Away Loss,HomePCT,AwayPCT,TotalPCT
1997,Phoenix Suns,56,26,30,11,26,15,0.731707317,0.634146341,0.682926829
1998,Phoenix Suns,27,23,15,10,12,13,0.6,0.48,0.54
1999,Phoenix Suns,53,29,32,9,21,20,0.780487805,0.512195122,0.646341463
2000,Phoenix Suns,51,31,31,10,20,21,0.756097561,0.487804878,0.62195122
2001,Phoenix Suns,36,46,23,18,13,28,0.56097561,0.317073171,0.43902439
2002,Phoenix Suns,44,38,30,11,14,27,0.731707317,0.341463415,0.536585366
2003,Phoenix Suns,29,53,18,23,11,30,0.43902439,0.268292683,0.353658537
2004,Phoenix Suns,62,20,31,10,31,10,0.756097561,0.756097561,0.756097561
2005,Phoenix Suns,54,28,31,10,23,18,0.756097561,0.56097561,0.658536585
2006,Phoenix Suns,61,21,33,8,28,13,0.804878049,0.682926829,0.743902439
2007,Phoenix Suns,55,27,30,11,25,16,0.731707317,0.609756098,0.670731707
2008,Phoenix Suns,46,36,28,13,18,23,0.682926829,0.43902439,0.56097561
2009,Phoenix Suns,54,28,32,9,22,19,0.780487805,0.536585366,0.658536585
2010,Phoenix Suns,40,42,23,18,17,24,0.56097561,0.414634146,0.487804878
1970,Portland Trailblazers,29,53,18,21,9,26,0.461538462,0.257142857,0.353658537
1971,Portland Trailblazers,18,64,14,26,4,35,0.35,0.102564103,0.219512195
1972,Portland Trailblazers,21,61,13,28,8,32,0.317073171,0.2,0.256097561
1973,Portland Trailblazers,27,55,22,19,5,34,0.536585366,0.128205128,0.329268293
1974,Portland Trailblazers,38,44,28,13,10,31,0.682926829,0.243902439,0.463414634
1975,Portland Trailblazers,37,45,26,15,11,30,0.634146341,0.268292683,0.451219512
1976,Portland Trailblazers,49,33,35,6,14,27,0.853658537,0.341463415,0.597560976
1977,Portland Trailblazers,58,24,36,5,22,19,0.87804878,0.536585366,0.707317073
1978,Portland Trailblazers,45,37,33,8,12,29,0.804878049,0.292682927,0.548780488
1979,Portland Trailblazers,38,44,26,15,12,29,0.634146341,0.292682927,0.463414634
1980,Portland Trailblazers,45,37,30,11,15,26,0.731707317,0.365853659,0.548780488
1981,Portland Trailblazers,42,40,27,14,15,26,0.658536585,0.365853659,0.512195122
1982,Portland Trailblazers,46,36,31,10,15,26,0.756097561,0.365853659,0.56097561
1983,Portland Trailblazers,48,34,33,8,15,26,0.804878049,0.365853659,0.585365854
1984,Portland Trailblazers,42,40,30,11,12,29,0.731707317,0.292682927,0.512195122
1985,Portland Trailblazers,40,42,27,14,13,28,0.658536585,0.317073171,0.487804878
1986,Portland Trailblazers,49,33,34,7,15,26,0.829268293,0.365853659,0.597560976
1987,Portland Trailblazers,53,29,33,8,20,21,0.804878049,0.487804878,0.646341463
1988,Portland Trailblazers,39,43,28,13,11,30,0.682926829,0.268292683,0.475609756
1989,Portland Trailblazers,59,23,35,6,24,17,0.853658537,0.585365854,0.719512195
1990,Portland Trailblazers,63,19,36,5,27,14,0.87804878,0.658536585,0.768292683
1991,Portland Trailblazers,57,25,33,8,24,17,0.804878049,0.585365854,0.695121951
1992,Portland Trailblazers,51,31,30,11,21,20,0.731707317,0.512195122,0.62195122
1993,Portland Trailblazers,47,35,30,11,17,24,0.731707317,0.414634146,0.573170732
1994,Portland Trailblazers,44,38,26,15,18,23,0.634146341,0.43902439,0.536585366
1995,Portland Trailblazers,44,38,26,15,18,23,0.634146341,0.43902439,0.536585366
1996,Portland Trailblazers,49,33,29,12,20,21,0.707317073,0.487804878,0.597560976
1997,Portland Trailblazers,46,36,26,15,20,21,0.634146341,0.487804878,0.56097561
1998,Portland Trailblazers,35,15,22,3,13,12,0.88,0.52,0.7
1999,Portland Trailblazers,59,23,30,11,29,12,0.731707317,0.707317073,0.719512195
2000,Portland Trailblazers,50,32,28,13,22,19,0.682926829,0.536585366,0.609756098
2001,Portland Trailblazers,49,33,30,11,19,22,0.731707317,0.463414634,0.597560976
2002,Portland Trailblazers,50,32,27,14,23,18,0.658536585,0.56097561,0.609756098
2003,Portland Trailblazers,41,41,25,16,16,25,0.609756098,0.390243902,0.5
2004,Portland Trailblazers,27,55,18,23,9,32,0.43902439,0.219512195,0.329268293
2005,Portland Trailblazers,21,61,15,26,6,35,0.365853659,0.146341463,0.256097561
2006,Portland Trailblazers,32,50,18,23,14,27,0.43902439,0.341463415,0.390243902
2007,Portland Trailblazers,41,41,28,13,13,28,0.682926829,0.317073171,0.5
2008,Portland Trailblazers,54,28,34,7,20,21,0.829268293,0.487804878,0.658536585
2009,Portland Trailblazers,50,32,26,15,24,17,0.634146341,0.585365854,0.609756098
2010,Portland Trailblazers,48,34,30,11,18,23,0.731707317,0.43902439,0.585365854
1950,Rochester Royals,41,27,29,5,12,22,0.852941176,0.352941176,0.602941176
1951,Rochester Royals,41,25,28,5,12,18,0.848484848,0.4,0.621212121
1952,Rochester Royals,44,26,24,8,13,16,0.75,0.448275862,0.628571429
1953,Rochester Royals,44,28,18,10,12,15,0.642857143,0.444444444,0.611111111
1954,Rochester Royals,29,43,17,11,4,19,0.607142857,0.173913043,0.402777778
1955,Rochester Royals,31,41,15,14,7,21,0.517241379,0.25,0.430555556
1956,Rochester Royals,31,41,19,12,9,22,0.612903226,0.290322581,0.430555556
1985,Sacramento Kings,37,45,25,16,12,29,0.609756098,0.292682927,0.451219512
1986,Sacramento Kings,29,53,20,21,9,32,0.487804878,0.219512195,0.353658537
1987,Sacramento Kings,24,58,19,22,5,36,0.463414634,0.12195122,0.292682927
1988,Sacramento Kings,27,55,21,20,6,35,0.512195122,0.146341463,0.329268293
1989,Sacramento Kings,23,59,16,25,7,34,0.390243902,0.170731707,0.280487805
1990,Sacramento Kings,25,57,24,17,1,40,0.585365854,0.024390244,0.304878049
1991,Sacramento Kings,29,53,21,20,8,33,0.512195122,0.195121951,0.353658537
1992,Sacramento Kings,25,57,16,25,9,32,0.390243902,0.219512195,0.304878049
1993,Sacramento Kings,28,54,20,21,8,33,0.487804878,0.195121951,0.341463415
1994,Sacramento Kings,39,43,27,14,12,29,0.658536585,0.292682927,0.475609756
1995,Sacramento Kings,39,43,26,15,13,28,0.634146341,0.317073171,0.475609756
1996,Sacramento Kings,34,48,22,19,12,29,0.536585366,0.292682927,0.414634146
1997,Sacramento Kings,27,55,21,20,6,35,0.512195122,0.146341463,0.329268293
1998,Sacramento Kings,27,23,16,9,11,14,0.64,0.44,0.54
1999,Sacramento Kings,44,38,30,11,14,27,0.731707317,0.341463415,0.536585366
2000,Sacramento Kings,55,27,33,8,22,19,0.804878049,0.536585366,0.670731707
2001,Sacramento Kings,61,21,36,5,25,16,0.87804878,0.609756098,0.743902439
2002,Sacramento Kings,59,23,35,6,24,17,0.853658537,0.585365854,0.719512195
2003,Sacramento Kings,55,27,34,7,21,20,0.829268293,0.512195122,0.670731707
2004,Sacramento Kings,50,32,30,11,20,21,0.731707317,0.487804878,0.609756098
2005,Sacramento Kings,44,38,27,14,17,24,0.658536585,0.414634146,0.536585366
2006,Sacramento Kings,33,49,20,21,13,28,0.487804878,0.317073171,0.402439024
2007,Sacramento Kings,38,44,26,15,12,29,0.634146341,0.292682927,0.463414634
2008,Sacramento Kings,17,65,11,30,6,35,0.268292683,0.146341463,0.207317073
2009,Sacramento Kings,25,57,18,23,7,34,0.43902439,0.170731707,0.304878049
2010,Sacramento Kings,24,58,11,30,13,28,0.268292683,0.317073171,0.292682927
1976,SanAntonio Spurs,44,38,31,10,13,28,0.756097561,0.317073171,0.536585366
1977,SanAntonio Spurs,52,30,32,9,20,21,0.780487805,0.487804878,0.634146341
1978,SanAntonio Spurs,48,34,29,12,19,22,0.707317073,0.463414634,0.585365854
1979,SanAntonio Spurs,41,41,27,14,14,27,0.658536585,0.341463415,0.5
1980,SanAntonio Spurs,52,30,34,7,18,23,0.829268293,0.43902439,0.634146341
1981,SanAntonio Spurs,48,34,29,12,19,22,0.707317073,0.463414634,0.585365854
1982,SanAntonio Spurs,53,29,31,10,22,19,0.756097561,0.536585366,0.646341463
1983,SanAntonio Spurs,37,45,28,13,9,32,0.682926829,0.219512195,0.451219512
1984,SanAntonio Spurs,41,41,30,11,11,30,0.731707317,0.268292683,0.5
1985,SanAntonio Spurs,35,47,21,20,14,27,0.512195122,0.341463415,0.426829268
1986,SanAntonio Spurs,28,54,21,20,7,34,0.512195122,0.170731707,0.341463415
1987,SanAntonio Spurs,31,51,23,18,8,33,0.56097561,0.195121951,0.37804878
1988,SanAntonio Spurs,21,61,18,23,3,38,0.43902439,0.073170732,0.256097561
1989,SanAntonio Spurs,56,26,34,7,22,19,0.829268293,0.536585366,0.682926829
1990,SanAntonio Spurs,55,27,33,8,22,19,0.804878049,0.536585366,0.670731707
1991,SanAntonio Spurs,47,35,31,10,16,25,0.756097561,0.390243902,0.573170732
1992,SanAntonio Spurs,49,33,31,10,18,23,0.756097561,0.43902439,0.597560976
1993,SanAntonio Spurs,55,27,32,9,23,18,0.780487805,0.56097561,0.670731707
1994,SanAntonio Spurs,62,20,33,8,29,12,0.804878049,0.707317073,0.756097561
1995,SanAntonio Spurs,59,23,33,8,26,15,0.804878049,0.634146341,0.719512195
1996,SanAntonio Spurs,20,62,12,29,8,33,0.292682927,0.195121951,0.243902439
1997,SanAntonio Spurs,56,26,31,10,25,16,0.756097561,0.609756098,0.682926829
1998,SanAntonio Spurs,37,13,21,4,16,9,0.84,0.64,0.74
1999,SanAntonio Spurs,53,29,31,10,22,19,0.756097561,0.536585366,0.646341463
2000,SanAntonio Spurs,58,24,33,8,25,16,0.804878049,0.609756098,0.707317073
2001,SanAntonio Spurs,58,24,32,9,26,15,0.780487805,0.634146341,0.707317073
2002,SanAntonio Spurs,60,22,33,8,27,14,0.804878049,0.658536585,0.731707317
2003,SanAntonio Spurs,57,25,33,8,24,17,0.804878049,0.585365854,0.695121951
2004,SanAntonio Spurs,59,23,38,3,21,20,0.926829268,0.512195122,0.719512195
2005,SanAntonio Spurs,63,19,34,7,29,12,0.829268293,0.707317073,0.768292683
2006,SanAntonio Spurs,58,24,31,10,27,14,0.756097561,0.658536585,0.707317073
2007,SanAntonio Spurs,56,26,34,7,22,19,0.829268293,0.536585366,0.682926829
2008,SanAntonio Spurs,54,28,28,13,26,15,0.682926829,0.634146341,0.658536585
2009,SanAntonio Spurs,50,32,29,12,21,20,0.707317073,0.512195122,0.609756098
2010,SanAntonio Spurs,61,21,36,5,25,16,0.87804878,0.609756098,0.743902439
1978,SanDiego Clippers,43,39,29,12,14,27,0.707317073,0.341463415,0.524390244
1979,SanDiego Clippers,35,47,24,17,11,30,0.585365854,0.268292683,0.426829268
1980,SanDiego Clippers,36,46,22,19,14,27,0.536585366,0.341463415,0.43902439
1981,SanDiego Clippers,17,65,11,30,6,35,0.268292683,0.146341463,0.207317073
1982,SanDiego Clippers,25,57,18,23,7,34,0.43902439,0.170731707,0.304878049
1983,SanDiego Clippers,30,52,25,16,5,36,0.609756098,0.12195122,0.365853659
1967,SanDiego Rockets,15,67,8,33,4,26,0.195121951,0.133333333,0.182926829
1968,SanDiego Rockets,37,45,25,16,8,25,0.609756098,0.242424242,0.451219512
1969,SanDiego Rockets,27,55,21,17,4,33,0.552631579,0.108108108,0.329268293
1970,SanDiego Rockets,40,42,24,15,15,26,0.615384615,0.365853659,0.487804878
1962,SanFrancisco Warriors,31,49,13,20,11,25,0.393939394,0.305555556,0.3875
1963,SanFrancisco Warriors,48,32,25,14,21,15,0.641025641,0.583333333,0.6
1964,SanFrancisco Warriors,17,63,10,26,5,31,0.277777778,0.138888889,0.2125
1965,SanFrancisco Warriors,35,45,12,14,8,19,0.461538462,0.296296296,0.4375
1966,SanFrancisco Warriors,44,37,18,10,11,19,0.642857143,0.366666667,0.543209877
1967,SanFrancisco Warriors,43,39,27,14,16,23,0.658536585,0.41025641,0.524390244
1968,SanFrancisco Warriors,41,41,22,19,18,21,0.536585366,0.461538462,0.5
1969,SanFrancisco Warriors,30,52,16,20,14,26,0.444444444,0.35,0.365853659
1970,SanFrancisco Warriors,41,41,20,18,19,21,0.526315789,0.475,0.5
1967,Seattle Supersonics,23,59,9,19,7,24,0.321428571,0.225806452,0.280487805
1968,Seattle Supersonics,30,52,18,18,6,29,0.5,0.171428571,0.365853659
1969,Seattle Supersonics,36,46,22,14,10,26,0.611111111,0.277777778,0.43902439
1970,Seattle Supersonics,38,44,27,13,11,30,0.675,0.268292683,0.463414634
1971,Seattle Supersonics,47,35,28,12,18,22,0.7,0.45,0.573170732
1972,Seattle Supersonics,26,56,16,25,10,29,0.390243902,0.256410256,0.317073171
1973,Seattle Supersonics,36,46,22,19,14,27,0.536585366,0.341463415,0.43902439
1974,Seattle Supersonics,43,39,24,17,19,22,0.585365854,0.463414634,0.524390244
1975,Seattle Supersonics,43,39,31,10,12,29,0.756097561,0.292682927,0.524390244
1976,Seattle Supersonics,40,42,27,14,13,28,0.658536585,0.317073171,0.487804878
1977,Seattle Supersonics,47,35,31,10,16,25,0.756097561,0.390243902,0.573170732
1978,Seattle Supersonics,52,30,31,10,21,20,0.756097561,0.512195122,0.634146341
1979,Seattle Supersonics,56,26,33,8,23,18,0.804878049,0.56097561,0.682926829
1980,Seattle Supersonics,34,48,22,19,12,29,0.536585366,0.292682927,0.414634146
1981,Seattle Supersonics,52,30,31,10,21,20,0.756097561,0.512195122,0.634146341
1982,Seattle Supersonics,48,34,29,12,19,22,0.707317073,0.463414634,0.585365854
1983,Seattle Supersonics,42,40,32,9,10,31,0.780487805,0.243902439,0.512195122
1984,Seattle Supersonics,31,51,20,21,11,30,0.487804878,0.268292683,0.37804878
1985,Seattle Supersonics,31,51,24,17,7,34,0.585365854,0.170731707,0.37804878
1986,Seattle Supersonics,39,43,25,16,14,27,0.609756098,0.341463415,0.475609756
1987,Seattle Supersonics,44,38,32,9,12,29,0.780487805,0.292682927,0.536585366
1988,Seattle Supersonics,47,35,31,10,16,25,0.756097561,0.390243902,0.573170732
1989,Seattle Supersonics,41,41,30,11,11,30,0.731707317,0.268292683,0.5
1990,Seattle Supersonics,41,41,28,13,13,28,0.682926829,0.317073171,0.5
1991,Seattle Supersonics,47,35,28,13,19,22,0.682926829,0.463414634,0.573170732
1992,Seattle Supersonics,55,27,33,8,22,19,0.804878049,0.536585366,0.670731707
1993,Seattle Supersonics,63,19,37,4,26,15,0.902439024,0.634146341,0.768292683
1994,Seattle Supersonics,57,25,32,9,25,16,0.780487805,0.609756098,0.695121951
1995,Seattle Supersonics,64,18,38,3,26,15,0.926829268,0.634146341,0.780487805
1996,Seattle Supersonics,57,25,31,10,26,15,0.756097561,0.634146341,0.695121951
1997,Seattle Supersonics,61,21,35,6,26,15,0.853658537,0.634146341,0.743902439
1998,Seattle Supersonics,25,25,17,8,8,17,0.68,0.32,0.5
1999,Seattle Supersonics,45,37,24,17,21,20,0.585365854,0.512195122,0.548780488
2000,Seattle Supersonics,44,38,26,15,18,23,0.634146341,0.43902439,0.536585366
2001,Seattle Supersonics,45,37,26,15,19,22,0.634146341,0.463414634,0.548780488
2002,Seattle Supersonics,40,42,25,16,15,26,0.609756098,0.365853659,0.487804878
2003,Seattle Supersonics,37,45,21,20,16,25,0.512195122,0.390243902,0.451219512
2004,Seattle Supersonics,52,30,26,15,26,15,0.634146341,0.634146341,0.634146341
2005,Seattle Supersonics,35,47,22,19,13,28,0.536585366,0.317073171,0.426829268
2006,Seattle Supersonics,31,51,20,21,11,30,0.487804878,0.268292683,0.37804878
2007,Seattle Supersonics,20,62,13,28,7,34,0.317073171,0.170731707,0.243902439
1955,St.Louis Hawks,33,39,16,10,10,17,0.615384615,0.37037037,0.458333333
1956,St.Louis Hawks,34,38,18,13,11,20,0.580645161,0.35483871,0.472222222
1957,St.Louis Hawks,41,31,23,8,9,19,0.741935484,0.321428571,0.569444444
1958,St.Louis Hawks,49,23,28,3,14,15,0.903225806,0.482758621,0.680555556
1959,St.Louis Hawks,46,29,28,5,12,20,0.848484848,0.375,0.613333333
1960,St.Louis Hawks,51,28,29,5,15,20,0.852941176,0.428571429,0.64556962
1961,St.Louis Hawks,29,51,19,16,7,27,0.542857143,0.205882353,0.3625
1962,St.Louis Hawks,48,32,30,7,13,18,0.810810811,0.419354839,0.6
1963,St.Louis Hawks,46,34,27,12,17,19,0.692307692,0.472222222,0.575
1964,St.Louis Hawks,45,35,26,14,15,17,0.65,0.46875,0.5625
1965,St.Louis Hawks,36,44,22,10,6,22,0.6875,0.214285714,0.45
1966,St.Louis Hawks,39,42,18,11,12,21,0.620689655,0.363636364,0.481481481
1967,St.Louis Hawks,56,26,25,7,22,13,0.78125,0.628571429,0.682926829
1950,Syracuse Nationals,32,34,24,9,8,25,0.727272727,0.242424242,0.484848485
1951,Syracuse Nationals,40,26,26,7,12,18,0.787878788,0.4,0.606060606
1952,Syracuse Nationals,47,24,32,2,10,19,0.941176471,0.344827586,0.661971831
1953,Syracuse Nationals,42,30,27,5,10,19,0.84375,0.344827586,0.583333333
1954,Syracuse Nationals,43,29,25,7,10,16,0.78125,0.384615385,0.597222222
1955,Syracuse Nationals,35,37,23,8,9,19,0.741935484,0.321428571,0.486111111
1956,Syracuse Nationals,38,34,22,9,12,19,0.709677419,0.387096774,0.527777778
1957,Syracuse Nationals,41,31,26,5,9,21,0.838709677,0.3,0.569444444
1958,Syracuse Nationals,35,37,19,12,12,17,0.612903226,0.413793103,0.486111111
1959,Syracuse Nationals,45,30,26,4,11,19,0.866666667,0.366666667,0.6
1960,Syracuse Nationals,38,41,19,9,8,21,0.678571429,0.275862069,0.481012658
1961,Syracuse Nationals,41,39,18,10,11,19,0.642857143,0.366666667,0.5125
1962,Syracuse Nationals,48,32,23,5,13,19,0.821428571,0.40625,0.6
1995,Toronto Raptors,21,61,15,26,6,35,0.365853659,0.146341463,0.256097561
1996,Toronto Raptors,30,52,18,23,12,29,0.43902439,0.292682927,0.365853659
1997,Toronto Raptors,16,66,9,32,7,34,0.219512195,0.170731707,0.195121951
1998,Toronto Raptors,23,27,14,11,9,16,0.56,0.36,0.46
1999,Toronto Raptors,45,37,26,15,19,22,0.634146341,0.463414634,0.548780488
2000,Toronto Raptors,47,35,27,14,20,21,0.658536585,0.487804878,0.573170732
2001,Toronto Raptors,42,40,24,17,18,23,0.585365854,0.43902439,0.512195122
2002,Toronto Raptors,24,58,15,26,9,32,0.365853659,0.219512195,0.292682927
2003,Toronto Raptors,33,49,18,23,15,26,0.43902439,0.365853659,0.402439024
2004,Toronto Raptors,33,49,22,19,11,30,0.536585366,0.268292683,0.402439024
2005,Toronto Raptors,27,55,15,26,12,29,0.365853659,0.292682927,0.329268293
2006,Toronto Raptors,47,35,30,11,17,24,0.731707317,0.414634146,0.573170732
2007,Toronto Raptors,41,41,25,16,16,25,0.609756098,0.390243902,0.5
2008,Toronto Raptors,33,49,18,23,15,26,0.43902439,0.365853659,0.402439024
2009,Toronto Raptors,40,42,25,16,15,26,0.609756098,0.365853659,0.487804878
2010,Toronto Raptors,22,60,16,25,6,35,0.390243902,0.146341463,0.268292683
1950,Tri-Cities Blackhawks,25,43,22,13,2,28,0.628571429,0.066666667,0.367647059
1979,Utah Jazz,24,58,17,24,7,34,0.414634146,0.170731707,0.292682927
1980,Utah Jazz,28,54,20,21,8,33,0.487804878,0.195121951,0.341463415
1981,Utah Jazz,25,57,18,23,7,34,0.43902439,0.170731707,0.304878049
1982,Utah Jazz,30,52,21,20,9,32,0.512195122,0.219512195,0.365853659
1983,Utah Jazz,45,37,31,10,14,27,0.756097561,0.341463415,0.548780488
1984,Utah Jazz,41,41,26,15,15,26,0.634146341,0.365853659,0.5
1985,Utah Jazz,42,40,27,14,15,26,0.658536585,0.365853659,0.512195122
1986,Utah Jazz,44,38,31,10,13,28,0.756097561,0.317073171,0.536585366
1987,Utah Jazz,47,35,33,8,14,27,0.804878049,0.341463415,0.573170732
1988,Utah Jazz,51,31,34,7,17,24,0.829268293,0.414634146,0.62195122
1989,Utah Jazz,55,27,36,5,19,22,0.87804878,0.463414634,0.670731707
1990,Utah Jazz,54,28,36,5,18,23,0.87804878,0.43902439,0.658536585
1991,Utah Jazz,55,27,37,4,18,23,0.902439024,0.43902439,0.670731707
1992,Utah Jazz,47,35,28,13,19,22,0.682926829,0.463414634,0.573170732
1993,Utah Jazz,53,29,33,8,20,21,0.804878049,0.487804878,0.646341463
1994,Utah Jazz,60,22,33,8,27,14,0.804878049,0.658536585,0.731707317
1995,Utah Jazz,55,27,34,7,21,20,0.829268293,0.512195122,0.670731707
1996,Utah Jazz,64,18,38,3,26,15,0.926829268,0.634146341,0.780487805
1997,Utah Jazz,62,20,36,5,26,15,0.87804878,0.634146341,0.756097561
1998,Utah Jazz,37,13,22,3,15,10,0.88,0.6,0.74
1999,Utah Jazz,55,27,31,10,24,17,0.756097561,0.585365854,0.670731707
2000,Utah Jazz,53,29,28,13,25,16,0.682926829,0.609756098,0.646341463
2001,Utah Jazz,44,38,25,16,19,22,0.609756098,0.463414634,0.536585366
2002,Utah Jazz,47,35,29,12,18,23,0.707317073,0.43902439,0.573170732
2003,Utah Jazz,42,40,28,13,14,27,0.682926829,0.341463415,0.512195122
2004,Utah Jazz,26,56,18,23,8,33,0.43902439,0.195121951,0.317073171
2005,Utah Jazz,41,41,22,19,19,22,0.536585366,0.463414634,0.5
2006,Utah Jazz,51,31,31,10,20,21,0.756097561,0.487804878,0.62195122
2007,Utah Jazz,54,28,37,4,17,24,0.902439024,0.414634146,0.658536585
2008,Utah Jazz,48,34,33,8,15,26,0.804878049,0.365853659,0.585365854
2009,Utah Jazz,53,29,32,9,21,20,0.780487805,0.512195122,0.646341463
2010,Utah Jazz,39,43,21,20,18,23,0.512195122,0.43902439,0.475609756
1995,Vancouver Grizzlies,15,67,10,31,5,36,0.243902439,0.12195122,0.182926829
1996,Vancouver Grizzlies,14,68,8,33,6,35,0.195121951,0.146341463,0.170731707
1997,Vancouver Grizzlies,19,63,14,27,5,36,0.341463415,0.12195122,0.231707317
1998,Vancouver Grizzlies,8,42,7,18,1,24,0.28,0.04,0.16
1999,Vancouver Grizzlies,22,60,12,29,10,31,0.292682927,0.243902439,0.268292683
2000,Vancouver Grizzlies,23,59,15,26,8,33,0.365853659,0.195121951,0.280487805
1974,Washington Bullets,60,22,36,5,24,17,0.87804878,0.585365854,0.731707317
1975,Washington Bullets,48,34,31,10,17,24,0.756097561,0.414634146,0.585365854
1976,Washington Bullets,48,34,32,9,16,25,0.780487805,0.390243902,0.585365854
1977,Washington Bullets,44,38,29,12,15,26,0.707317073,0.365853659,0.536585366
1978,Washington Bullets,54,28,31,10,23,18,0.756097561,0.56097561,0.658536585
1979,Washington Bullets,39,43,24,17,15,26,0.585365854,0.365853659,0.475609756
1980,Washington Bullets,39,43,26,15,13,28,0.634146341,0.317073171,0.475609756
1981,Washington Bullets,43,39,22,19,21,20,0.536585366,0.512195122,0.524390244
1982,Washington Bullets,42,40,27,14,15,26,0.658536585,0.365853659,0.512195122
1983,Washington Bullets,35,47,25,16,10,31,0.609756098,0.243902439,0.426829268
1984,Washington Bullets,40,42,28,13,12,29,0.682926829,0.292682927,0.487804878
1985,Washington Bullets,39,43,26,15,13,28,0.634146341,0.317073171,0.475609756
1986,Washington Bullets,42,40,27,14,15,26,0.658536585,0.365853659,0.512195122
1987,Washington Bullets,38,44,25,16,13,28,0.609756098,0.317073171,0.463414634
1988,Washington Bullets,40,42,30,11,10,31,0.731707317,0.243902439,0.487804878
1989,Washington Bullets,31,51,20,21,11,30,0.487804878,0.268292683,0.37804878
1990,Washington Bullets,30,52,21,20,9,32,0.512195122,0.219512195,0.365853659
1991,Washington Bullets,25,57,14,27,11,30,0.341463415,0.268292683,0.304878049
1992,Washington Bullets,22,60,15,26,7,34,0.365853659,0.170731707,0.268292683
1993,Washington Bullets,24,58,17,24,7,34,0.414634146,0.170731707,0.292682927
1994,Washington Bullets,21,61,13,28,8,33,0.317073171,0.195121951,0.256097561
1995,Washington Bullets,39,43,25,16,14,27,0.609756098,0.341463415,0.475609756
1996,Washington Bullets,44,38,25,16,19,22,0.609756098,0.463414634,0.536585366
1950,Washington Capitols,10,25,6,11,4,13,0.352941176,0.235294118,0.285714286
1997,Washington Wizards,42,40,24,17,18,23,0.585365854,0.43902439,0.512195122
1998,Washington Wizards,18,32,13,12,5,20,0.52,0.2,0.36
1999,Washington Wizards,29,53,17,24,12,29,0.414634146,0.292682927,0.353658537
2000,Washington Wizards,19,63,12,29,7,34,0.292682927,0.170731707,0.231707317
2001,Washington Wizards,37,45,22,19,15,26,0.536585366,0.365853659,0.451219512
2002,Washington Wizards,37,45,23,18,14,27,0.56097561,0.341463415,0.451219512
2003,Washington Wizards,25,57,17,24,8,33,0.414634146,0.195121951,0.304878049
2004,Washington Wizards,45,37,29,12,16,25,0.707317073,0.390243902,0.548780488
2005,Washington Wizards,42,40,27,14,15,26,0.658536585,0.365853659,0.512195122
2006,Washington Wizards,41,41,26,15,15,26,0.634146341,0.365853659,0.5
2007,Washington Wizards,43,39,25,16,18,23,0.609756098,0.43902439,0.524390244
2008,Washington Wizards,19,63,13,28,6,35,0.317073171,0.146341463,0.231707317
2009,Washington Wizards,26,56,15,26,11,30,0.365853659,0.268292683,0.317073171
2010,Washington Wizards,23,59,20,21,3,38,0.487804878,0.073170732,0.280487805
